trade_id,book,counterparty,valuation_date,direction,run_timestamp,instrument,swap_subtype,tenor_y,leg_count,leg_types,notional,coupon_rate,start_date,end_date,currency,underlying_ticker,initial_price,dividend_yield,strike,option_type,exercise_type,vol,reference_entity,credit_spread,recovery_rate,seniority,doc_clause,spread,index_name,npv,fixed_npv,float_npv,par_rate,clean_price,accrued,premium,dv01,duration,pv01,convexity,vega,theta,delta,gamma,rho,cr01,jump_to_default,error
BOND-0001,MACRO,CPTY-07,2025-01-15,LONG,2026-04-06T19:24:29.666609+00:00,BOND,,7,1,BOND,5e+06,0.041,2024-07-15,2031-07-15,USD,,,,,,,,,,,,,,,4.88816e+06,,,0.044976,97.7691,1123.29,,-2817.3,-5.63461,-563.461,35.8242,,,,,,,,
BOND-0002,MACRO,CPTY-04,2025-01-15,SHORT,2026-04-06T19:24:29.666609+00:00,BOND,,5,1,BOND,5e+06,0.0453,2024-07-15,2029-07-15,USD,,,,,,,,,,,,,,,4.98093e+06,,,0.0462265,99.6227,1241.1,,2053.43,4.10685,410.685,17.948,,,,,,,,
BOND-0003,BOND-NY,CPTY-04,2025-01-15,SHORT,2026-04-06T19:24:29.666609+00:00,BOND,,3,1,BOND,5e+06,0.0492,2024-07-15,2027-07-15,USD,,,,,,,,,,,,,,,5.00593e+06,,,0.0485987,100.121,1347.95,,1190.99,2.38197,238.197,5.82396,,,,,,,,
BOND-0004,BOND-LDN,CPTY-02,2025-01-15,SHORT,2026-04-06T19:24:29.666609+00:00,BOND,,3,1,BOND,5e+06,0.0486,2024-07-15,2027-07-15,USD,,,,,,,,,,,,,,,4.99897e+06,,,0.0485976,99.9818,1331.51,,1189.96,2.37992,237.992,5.82835,,,,,,,,
BOND-0005,MACRO,CPTY-04,2025-01-15,LONG,2026-04-06T19:24:29.666609+00:00,BOND,,20,1,BOND,500000,0.0417,2024-07-15,2044-07-15,USD,,,,,,,,,,,,,,,491760,,,0.0429478,98.3576,114.247,,-665.323,-13.3065,-1330.65,229.211,,,,,,,,
BOND-0006,BOND-NY,CPTY-05,2025-01-15,SHORT,2026-04-06T19:24:29.666609+00:00,BOND,,7,1,BOND,1e+06,0.0426,2024-07-15,2031-07-15,USD,,,,,,,,,,,,,,,986511,,,0.0449843,98.6565,233.425,,566.433,5.66433,566.433,35.6341,,,,,,,,
BOND-0007,BOND-NY,CPTY-01,2025-01-15,LONG,2026-04-06T19:24:29.666609+00:00,BOND,,3,1,BOND,1e+07,0.0466,2024-07-15,2027-07-15,USD,,,,,,,,,,,,,,,9.95156e+06,,,0.0485937,99.5189,2553.42,,-2373.08,-2.37308,-237.308,5.84306,,,,,,,,
BOND-0008,BOND-ASIA,CPTY-09,2025-01-15,SHORT,2026-04-06T19:24:29.666609+00:00,BOND,,20,1,BOND,5e+06,0.043,2024-07-15,2044-07-15,USD,,,,,,,,,,,,,,,5.00228e+06,,,0.0429564,100.051,1178.08,,6726.89,13.4538,1345.38,227.133,,,,,,,,
BOND-0009,BOND-NY,CPTY-08,2025-01-15,SHORT,2026-04-06T19:24:29.666609+00:00,BOND,,2,1,BOND,500000,0.0457,2024-07-15,2026-07-15,USD,,,,,,,,,,,,,,,496462,,,0.0505224,99.2962,125.205,,72.6131,1.45226,145.226,2.16611,,,,,,,,
BOND-0010,MACRO,CPTY-08,2025-01-15,SHORT,2026-04-06T19:24:29.666609+00:00,BOND,,20,1,BOND,500000,0.0384,2024-07-15,2044-07-15,USD,,,,,,,,,,,,,,,470264,,,0.042925,94.059,105.205,,646.625,12.9325,1293.25,234.819,,,,,,,,
