trade_id,book,counterparty,valuation_date,direction,run_timestamp,instrument,swap_subtype,tenor_y,leg_count,leg_types,notional,coupon_rate,start_date,end_date,currency,underlying_ticker,initial_price,dividend_yield,strike,option_type,exercise_type,vol,reference_entity,credit_spread,recovery_rate,seniority,doc_clause,spread,index_name,npv,fixed_npv,float_npv,par_rate,clean_price,accrued,premium,dv01,duration,pv01,convexity,vega,theta,delta,gamma,rho,cr01,jump_to_default,error
CDS-0001,CREDIT-IG,CPTY-09,2025-01-15,BUY,2026-04-09T14:05:32.670891+00:00,CDS,,3,2,"CDS_PROTECTION,CDS_PREMIUM",2e+07,0.008,2025-01-17,2028-01-17,USD,,,,,,,,AMAZON COM INC,0.008,0.4,SENIOR_UNSECURED,CR,,,-3467.23,,,0.00793711,,,,6.0607,0.00303035,0.303035,,,,,,,5469.44,1.2e+07,
CDS-0002,CREDIT-HY,CPTY-08,2025-01-15,BUY,2026-04-09T14:05:32.670891+00:00,CDS,,10,2,"CDS_PROTECTION,CDS_PREMIUM",2e+07,0.0131,2025-01-17,2035-01-17,USD,,,,,,,,AT&T INC,0.0131,0.4,SENIOR_UNSECURED,CR,,,-16026.2,,,0.0129911,,,,31.5166,0.0157583,1.57583,,,,,,,14597,1.2e+07,
CDS-0003,CDS-INDEX,CPTY-10,2025-01-15,BUY,2026-04-09T14:05:32.670891+00:00,CDS,,5,2,"CDS_PROTECTION,CDS_PREMIUM",1e+07,0.025,2025-01-17,2030-01-17,USD,,,,,,,,GENERAL MOTORS CO,0.025,0.4,SENIOR_UNSECURED,CR,,,-8234.07,,,0.0247977,,,,14.6933,0.0146933,1.46933,,,,,,,4038.17,6e+06,
CDS-0004,CREDIT-IG,CPTY-06,2025-01-15,SELL,2026-04-09T14:05:32.670891+00:00,CDS,,5,2,"CDS_PROTECTION,CDS_PREMIUM",2e+07,0.0165,2025-01-17,2030-01-17,USD,,,,,,,,BOEING CO,0.0165,0.4,SENIOR_UNSECURED,CR,,,11238.1,,,0.0163664,,,,-20.1138,-0.0100569,-1.00569,,,,,,,-8346.61,-1.2e+07,
CDS-0005,CREDIT-HY,CPTY-09,2025-01-15,BUY,2026-04-09T14:05:32.670891+00:00,CDS,,1,2,"CDS_PROTECTION,CDS_PREMIUM",2e+07,0.0109,2025-01-17,2026-01-17,USD,,,,,,,,VERIZON COMMS,0.0109,0.4,SENIOR_UNSECURED,CR,,,-1573.66,,,0.0108195,,,,2.75954,0.00137977,0.137977,,,,,,,1940.92,1.2e+07,
CDS-0006,CDS-INDEX,CPTY-07,2025-01-15,SELL,2026-04-09T14:05:32.670891+00:00,CDS,,1,2,"CDS_PROTECTION,CDS_PREMIUM",1e+07,0.0188,2025-01-17,2026-01-17,USD,,,,,,,,NETFLIX INC,0.0188,0.35,SENIOR_UNSECURED,XR,,,1351.11,,,0.0186611,,,,-2.36371,-0.00236371,-0.236371,,,,,,,-965.267,-6.5e+06,
CDS-0007,CREDIT-IG,CPTY-02,2025-01-15,SELL,2026-04-09T14:05:32.670891+00:00,CDS,,1,2,"CDS_PROTECTION,CDS_PREMIUM",1e+07,0.0265,2025-01-17,2026-01-17,USD,,,,,,,,GENERAL MOTORS CO,0.0265,0.4,SENIOR_UNSECURED,CR,,,1893.15,,,0.0263038,,,,-3.30007,-0.00330007,-0.330007,,,,,,,-957.952,-6e+06,
CDS-0008,CREDIT-HY,CPTY-05,2025-01-15,SELL,2026-04-09T14:05:32.670891+00:00,CDS,,1,2,"CDS_PROTECTION,CDS_PREMIUM",5e+06,0.009,2025-01-17,2026-01-17,USD,,,,,,,,AT&T INC,0.009,0.4,SENIOR_UNSECURED,CR,,,325.272,,,0.00893357,,,,-0.570768,-0.00114154,-0.114154,,,,,,,-485.998,-3e+06,
CDS-0009,CDS-INDEX,CPTY-06,2025-01-15,SELL,2026-04-09T14:05:32.670891+00:00,CDS,,3,2,"CDS_PROTECTION,CDS_PREMIUM",2e+07,0.0097,2025-01-17,2028-01-17,USD,,,,,,,,VERIZON COMMS,0.0097,0.4,SENIOR_UNSECURED,CR,,,4186.3,,,0.00962375,,,,-7.31484,-0.00365742,-0.365742,,,,,,,-5447.05,-1.2e+07,
CDS-0010,CREDIT-IG,CPTY-07,2025-01-15,BUY,2026-04-09T14:05:32.670891+00:00,CDS,,7,2,"CDS_PROTECTION,CDS_PREMIUM",1e+07,0.0071,2025-01-17,2032-01-17,USD,,,,,,,,COMCAST CORP,0.0071,0.4,SENIOR_UNSECURED,CR,,,-3386.77,,,0.0070417,,,,6.31711,0.00631711,0.631711,,,,,,,5759.89,6e+06,
