trade_id,book,counterparty,valuation_date,direction,run_timestamp,instrument,swap_subtype,tenor_y,leg_count,leg_types,notional,coupon_rate,start_date,end_date,currency,underlying_ticker,initial_price,dividend_yield,strike,option_type,exercise_type,vol,reference_entity,credit_spread,recovery_rate,seniority,doc_clause,spread,index_name,npv,fixed_npv,float_npv,par_rate,clean_price,accrued,premium,dv01,duration,pv01,convexity,vega,theta,delta,gamma,rho,cr01,jump_to_default,error
OBOND-CONV-0161,OBOND-CONV,CPTY-03,2025-01-15,SHORT,2026-04-09T14:05:32.670891+00:00,CVTBL,CONVERTIBLE,0,2,"BOND,EQUITY_OPTION",2e+07,0.0459,2025-01-15,2040-01-15,USD,,,,250.707,CALL,AMERICAN,0.21,,,,,,,,2.75403e+07,2.0556e+07,6.98432e+06,0.0433704,2.75411e+07,0,,-22834.1,-11.417,-1141.7,148.487,,,6.98432e+06,,,,,
OBOND-CONV-0162,OBOND-CONV,CPTY-08,2025-01-15,SHORT,2026-04-09T14:05:32.670891+00:00,CVTBL,CONVERTIBLE,0,2,"BOND,EQUITY_OPTION",2e+07,0.0443,2025-01-15,2045-01-15,USD,,,,190.05,CALL,AMERICAN,0.2145,,,,,,,,2.62625e+07,2.03652e+07,5.8973e+06,0.0429371,2.62635e+07,0,,-27705.1,-13.8525,-1385.25,233.95,,,5.8973e+06,,,,,
OBOND-CONV-0163,OBOND-CONV,CPTY-10,2025-01-15,LONG,2026-04-09T14:05:32.670891+00:00,CVTBL,CONVERTIBLE,0,2,"BOND,EQUITY_OPTION",2e+07,0.04,2025-01-15,2035-01-15,USD,,,,631.68,CALL,AMERICAN,0.2779,,,,,,,,2.40674e+07,1.93864e+07,4.68093e+06,0.0438281,2.40685e+07,0,,16144.1,8.07203,807.203,77.8282,,,4.68093e+06,,,,,
OBOND-CONV-0164,OBOND-CONV,CPTY-01,2025-01-15,SHORT,2026-04-09T14:05:32.670891+00:00,CVTBL,CONVERTIBLE,0,2,"BOND,EQUITY_OPTION",5e+06,0.0477,2025-01-15,2035-01-15,USD,,,,258.813,CALL,AMERICAN,0.2521,,,,,,,,6.49967e+06,5.15368e+06,1.34599e+06,0.0438778,6.49984e+06,0,,-4186.54,-8.37308,-837.308,75.1156,,,1.34599e+06,,,,,
OBOND-CONV-0165,OBOND-CONV,CPTY-02,2025-01-15,SHORT,2026-04-09T14:05:32.670891+00:00,CVTBL,CONVERTIBLE,0,2,"BOND,EQUITY_OPTION",5e+06,0.0441,2025-01-15,2055-01-15,USD,,,,644.64,CALL,AMERICAN,0.2736,,,,,,,,6.83061e+06,5.133e+06,1.69761e+06,0.0425221,6.83087e+06,0,,-8842.88,-17.6858,-1768.58,410.792,,,1.69761e+06,,,,,
OBOND-CONV-0166,OBOND-CONV,CPTY-04,2025-01-15,SHORT,2026-04-09T14:05:32.670891+00:00,CVTBL,CONVERTIBLE,0,2,"BOND,EQUITY_OPTION",5e+07,0.04,2025-01-15,2045-01-15,USD,,,,257.462,CALL,AMERICAN,0.2808,,,,,,,,7.11762e+07,4.80646e+07,2.31116e+07,0.0429085,7.1179e+07,0,,-66730.8,-13.3462,-1334.62,241.216,,,2.31116e+07,,,,,
OBOND-CONV-0167,OBOND-CONV,CPTY-04,2025-01-15,LONG,2026-04-09T14:05:32.670891+00:00,CVTBL,CONVERTIBLE,0,2,"BOND,EQUITY_OPTION",1e+07,0.0427,2025-01-15,2032-01-15,USD,,,,284.26,CALL,AMERICAN,0.2703,,,,,,,,1.23175e+07,9.87655e+06,2.441e+06,0.0447689,1.2318e+07,0,,6049.6,6.0496,604.96,40.7949,,,2.441e+06,,,,,
OBOND-CONV-0168,OBOND-CONV,CPTY-06,2025-01-15,SHORT,2026-04-09T14:05:32.670891+00:00,CVTBL,CONVERTIBLE,0,2,"BOND,EQUITY_OPTION",2e+07,0.04,2025-01-15,2045-01-15,USD,,,,505.44,CALL,AMERICAN,0.3022,,,,,,,,2.82002e+07,1.92258e+07,8.97434e+06,0.0429085,2.82013e+07,0,,-26692.3,-13.3462,-1334.62,241.216,,,8.97434e+06,,,,,
OBOND-CONV-0169,OBOND-CONV,CPTY-05,2025-01-15,LONG,2026-04-09T14:05:32.670891+00:00,CVTBL,CONVERTIBLE,0,2,"BOND,EQUITY_OPTION",5e+06,0.0447,2025-01-15,2030-01-15,USD,,,,520,CALL,AMERICAN,0.323,,,,,,,,6.02519e+06,4.97657e+06,1.04861e+06,0.0457536,6.02539e+06,0,,2258.83,4.51766,451.766,21.8825,,,1.04861e+06,,,,,
OBOND-CONV-0170,OBOND-CONV,CPTY-05,2025-01-15,LONG,2026-04-09T14:05:32.670891+00:00,CVTBL,CONVERTIBLE,0,2,"BOND,EQUITY_OPTION",5e+07,0.04,2025-01-15,2035-01-15,USD,,,,506.688,CALL,AMERICAN,0.3128,,,,,,,,6.50268e+07,4.84661e+07,1.65607e+07,0.0438281,6.50297e+07,0,,40360.2,8.07203,807.203,77.8282,,,1.65607e+07,,,,,
OBOND-CONV-0171,OBOND-CONV,CPTY-02,2025-01-15,LONG,2026-04-09T14:05:32.670891+00:00,CVTBL,CONVERTIBLE,0,2,"BOND,EQUITY_OPTION",5e+07,0.04,2025-01-15,2032-01-15,USD,,,,549.12,CALL,AMERICAN,0.2771,,,,,,,,5.87271e+07,4.85834e+07,1.01437e+07,0.0447542,5.87301e+07,0,,29962.3,5.99245,599.245,41.1891,,,1.01437e+07,,,,,
OBOND-CONV-0172,OBOND-CONV,CPTY-02,2025-01-15,SHORT,2026-04-09T14:05:32.670891+00:00,CVTBL,CONVERTIBLE,0,2,"BOND,EQUITY_OPTION",5e+07,0.0465,2025-01-15,2032-01-15,USD,,,,296.143,CALL,AMERICAN,0.2121,,,,,,,,5.94802e+07,5.05077e+07,8.97245e+06,0.0447891,5.94819e+07,0,,-30650.2,-6.13003,-613.003,40.2612,,,8.97245e+06,,,,,
OBOND-CONV-0173,OBOND-CONV,CPTY-06,2025-01-15,LONG,2026-04-09T14:05:32.670891+00:00,CVTBL,CONVERTIBLE,0,2,"BOND,EQUITY_OPTION",1e+07,0.0487,2025-01-15,2030-01-15,USD,,,,190.35,CALL,AMERICAN,0.2987,,,,,,,,1.18623e+07,1.01293e+07,1.73294e+06,0.0457714,1.18625e+07,0,,4564.49,4.56449,456.449,21.6607,,,1.73294e+06,,,,,
OBOND-CONV-0174,OBOND-CONV,CPTY-05,2025-01-15,SHORT,2026-04-09T14:05:32.670891+00:00,CVTBL,CONVERTIBLE,0,2,"BOND,EQUITY_OPTION",1e+07,0.0478,2025-01-15,2030-01-15,USD,,,,297.541,CALL,AMERICAN,0.262,,,,,,,,1.17315e+07,1.00897e+07,1.64184e+06,0.0457674,1.17318e+07,0,,-4553.96,-4.55396,-455.396,21.7099,,,1.64184e+06,,,,,
OBOND-CONV-0175,OBOND-CONV,CPTY-09,2025-01-15,SHORT,2026-04-09T14:05:32.670891+00:00,CVTBL,CONVERTIBLE,0,2,"BOND,EQUITY_OPTION",1e+07,0.04,2025-01-15,2035-01-15,USD,,,,187.65,CALL,AMERICAN,0.3048,,,,,,,,1.24787e+07,9.69321e+06,2.7855e+06,0.0438281,1.24793e+07,0,,-8072.03,-8.07203,-807.203,77.8282,,,2.7855e+06,,,,,
OBOND-CONV-0176,OBOND-CONV,CPTY-10,2025-01-15,LONG,2026-04-09T14:05:32.670891+00:00,CVTBL,CONVERTIBLE,0,2,"BOND,EQUITY_OPTION",5e+06,0.0465,2025-01-15,2032-01-15,USD,,,,308.492,CALL,AMERICAN,0.2122,,,,,,,,5.85367e+06,5.05077e+06,802893,0.0447891,5.85384e+06,0,,3065.02,6.13003,613.003,40.2612,,,802893,,,,,
OBOND-CONV-0177,OBOND-CONV,CPTY-04,2025-01-15,LONG,2026-04-09T14:05:32.670891+00:00,CVTBL,CONVERTIBLE,0,2,"BOND,EQUITY_OPTION",2e+07,0.0427,2025-01-15,2035-01-15,USD,,,,561.184,CALL,AMERICAN,0.2298,,,,,,,,2.40847e+07,1.98171e+07,4.26754e+06,0.043846,2.40857e+07,0,,16355.2,8.1776,817.76,76.8388,,,4.26754e+06,,,,,
OBOND-CONV-0178,OBOND-CONV,CPTY-06,2025-01-15,SHORT,2026-04-09T14:05:32.670891+00:00,CVTBL,CONVERTIBLE,0,2,"BOND,EQUITY_OPTION",5e+07,0.04,2025-01-15,2045-01-15,USD,,,,183.45,CALL,AMERICAN,0.35,,,,,,,,6.85325e+07,4.80646e+07,2.0468e+07,0.0429085,6.85354e+07,0,,-66730.8,-13.3462,-1334.62,241.216,,,2.0468e+07,,,,,
OBOND-CONV-0179,OBOND-CONV,CPTY-01,2025-01-15,SHORT,2026-04-09T14:05:32.670891+00:00,CVTBL,CONVERTIBLE,0,2,"BOND,EQUITY_OPTION",1e+07,0.0472,2025-01-15,2040-01-15,USD,,,,306.162,CALL,AMERICAN,0.3284,,,,,,,,1.4329e+07,1.04194e+07,3.9095e+06,0.0433778,1.43294e+07,0,,-11515.7,-11.5157,-1151.57,147.383,,,3.9095e+06,,,,,
OBOND-CONV-0180,OBOND-CONV,CPTY-05,2025-01-15,SHORT,2026-04-09T14:05:32.670891+00:00,CVTBL,CONVERTIBLE,0,2,"BOND,EQUITY_OPTION",5e+06,0.04,2025-01-15,2055-01-15,USD,,,,556.192,CALL,AMERICAN,0.2037,,,,,,,,6.72727e+06,4.78952e+06,1.93775e+06,0.0424952,6.72755e+06,0,,-8422.24,-16.8445,-1684.45,424.485,,,1.93775e+06,,,,,
OBOND-CONV-0181,OBOND-CONV,CPTY-04,2025-01-15,SHORT,2026-04-09T14:05:32.670891+00:00,CVTBL,CONVERTIBLE,0,2,"BOND,EQUITY_OPTION",2e+07,0.0418,2025-01-15,2045-01-15,USD,,,,200.25,CALL,AMERICAN,0.2888,,,,,,,,2.61811e+07,1.97028e+07,6.47833e+06,0.0429208,2.61822e+07,0,,-27116.3,-13.5581,-1355.81,238.072,,,6.47833e+06,,,,,
OBOND-CONV-0182,OBOND-CONV,CPTY-08,2025-01-15,LONG,2026-04-09T14:05:32.670891+00:00,CVTBL,CONVERTIBLE,0,2,"BOND,EQUITY_OPTION",1e+07,0.0441,2025-01-15,2035-01-15,USD,,,,639.36,CALL,AMERICAN,0.302,,,,,,,,1.24851e+07,1.00202e+07,2.46487e+06,0.043855,1.24856e+07,0,,8232.33,8.23233,823.233,76.3425,,,2.46487e+06,,,,,
OBOND-CONV-0183,OBOND-CONV,CPTY-09,2025-01-15,SHORT,2026-04-09T14:05:32.670891+00:00,CVTBL,CONVERTIBLE,0,2,"BOND,EQUITY_OPTION",1e+07,0.0444,2025-01-15,2035-01-15,USD,,,,582.24,CALL,AMERICAN,0.3341,,,,,,,,1.32097e+07,1.00442e+07,3.16554e+06,0.043857,1.32101e+07,0,,-8244.06,-8.24406,-824.406,76.2375,,,3.16554e+06,,,,,
OBOND-CONV-0184,OBOND-CONV,CPTY-10,2025-01-15,SHORT,2026-04-09T14:05:32.670891+00:00,CVTBL,CONVERTIBLE,0,2,"BOND,EQUITY_OPTION",1e+07,0.04,2025-01-15,2055-01-15,USD,,,,249.742,CALL,AMERICAN,0.3474,,,,,,,,1.58307e+07,9.57905e+06,6.25166e+06,0.0424952,1.58313e+07,0,,-16844.5,-16.8445,-1684.45,424.485,,,6.25166e+06,,,,,
OBOND-CONV-0185,OBOND-CONV,CPTY-03,2025-01-15,SHORT,2026-04-09T14:05:32.670891+00:00,CVTBL,CONVERTIBLE,0,2,"BOND,EQUITY_OPTION",1e+07,0.0466,2025-01-15,2030-01-15,USD,,,,198,CALL,AMERICAN,0.2517,,,,,,,,1.13098e+07,1.00368e+07,1.27299e+06,0.0457621,1.13102e+07,0,,-4539.91,-4.53991,-453.991,21.7762,,,1.27299e+06,,,,,
OBOND-CONV-0186,OBOND-CONV,CPTY-10,2025-01-15,SHORT,2026-04-09T14:05:32.670891+00:00,CVTBL,CONVERTIBLE,0,2,"BOND,EQUITY_OPTION",5e+07,0.04,2025-01-15,2040-01-15,USD,,,,248.584,CALL,AMERICAN,0.3084,,,,,,,,6.98292e+07,4.81797e+07,2.16496e+07,0.043335,6.98321e+07,0,,-54845.3,-10.9691,-1096.91,153.909,,,2.16496e+07,,,,,
OBOND-CONV-0187,OBOND-CONV,CPTY-02,2025-01-15,LONG,2026-04-09T14:05:32.670891+00:00,CVTBL,CONVERTIBLE,0,2,"BOND,EQUITY_OPTION",5e+07,0.0435,2025-01-15,2040-01-15,USD,,,,544.128,CALL,AMERICAN,0.2183,,,,,,,,6.46449e+07,5.0084e+07,1.45609e+07,0.0433564,6.46474e+07,0,,56174,11.2348,1123.48,150.609,,,1.45609e+07,,,,,
OBOND-CONV-0188,OBOND-CONV,CPTY-06,2025-01-15,SHORT,2026-04-09T14:05:32.670891+00:00,CVTBL,CONVERTIBLE,0,2,"BOND,EQUITY_OPTION",5e+07,0.0494,2025-01-15,2030-01-15,USD,,,,284.493,CALL,AMERICAN,0.2983,,,,,,,,6.12959e+07,5.08009e+07,1.04951e+07,0.0457745,6.1297e+07,0,,-22863.5,-4.57269,-457.269,21.6227,,,1.04951e+07,,,,,
