trade_id,book,counterparty,valuation_date,direction,run_timestamp,instrument,swap_subtype,tenor_y,leg_count,leg_types,notional,coupon_rate,start_date,end_date,currency,underlying_ticker,initial_price,dividend_yield,strike,option_type,exercise_type,vol,reference_entity,credit_spread,recovery_rate,seniority,doc_clause,spread,index_name,npv,fixed_npv,float_npv,par_rate,clean_price,accrued,premium,dv01,duration,pv01,convexity,vega,theta,delta,gamma,rho,cr01,jump_to_default,error
EQOPT-0001,EQOPT-VANILLA,CPTY-04,2025-01-15,SELL,2026-04-09T14:42:36.087786+00:00,EQ_OPT,,1,1,EQUITY_OPTION,2e+06,36100,2025-01-15,2025-07-16,USD,NKY,38000,0.025,36100,CALL,EUROPEAN,0.2024,,,,,,,,-182198,,,,,,-182198,-59.9223,,,,-4844.8,126811,-36.4194,-0.00332445,-59.9223,,,
EQOPT-0002,EQOPT-EXOTIC,CPTY-06,2025-01-15,BUY,2026-04-09T14:42:36.087786+00:00,EQ_OPT,,1,1,EQUITY_OPTION,1e+07,233,2025-01-15,2025-07-16,USD,AAPL,233,0.005,233,PUT,AMERICAN,0.2466,,,,,,,,595442,,,,,,595442,-178.943,,,,273.591,-505438,-18582.4,449.175,-178.943,,,
EQOPT-0003,EQOPT-DELTA,CPTY-09,2025-01-15,SELL,2026-04-09T14:42:36.087786+00:00,EQ_OPT,,1,1,EQUITY_OPTION,2e+06,233,2025-01-15,2025-07-16,USD,AAPL,233,0.005,233,CALL,EUROPEAN,0.2795,,,,,,,,-179448,,,,,,-179448,-49.4004,,,,-5487.36,199947,-5022.19,-72.5256,-49.4004,,,
EQOPT-0004,EQOPT-VANILLA,CPTY-03,2025-01-15,BUY,2026-04-09T14:42:36.087786+00:00,EQ_OPT,,2,1,EQUITY_OPTION,1e+07,220.5,2025-01-15,2027-01-15,USD,IWM,210,0.015,220.5,PUT,EUROPEAN,0.2403,,,,,,,,1.20665e+06,,,,,,1.20665e+06,-1037.93,,,,53365.6,-126047,-18966.6,251.79,-1037.93,,,
EQOPT-0005,EQOPT-EXOTIC,CPTY-06,2025-01-15,BUY,2026-04-09T14:42:36.087786+00:00,EQ_OPT,,1,1,EQUITY_OPTION,1e+06,173.7,2025-01-15,2025-04-16,USD,GOOGL,193,0,173.7,CALL,AMERICAN,0.2583,,,,,,,,123596,,,,,,123596,17.7999,,,,12.4742,-101534,4339.64,51.196,17.7999,,,
EQOPT-0006,EQOPT-DELTA,CPTY-09,2025-01-15,BUY,2026-04-09T14:42:36.087786+00:00,EQ_OPT,,2,1,EQUITY_OPTION,5e+06,528,2025-01-15,2027-01-15,USD,SPY,480,0.013,528,PUT,AMERICAN,0.1825,,,,,,,,655723,,,,,,655723,-315.454,,,,246.865,-51904.3,-6162.8,49.6501,-315.454,,,
EQOPT-0007,EQOPT-VANILLA,CPTY-01,2025-01-15,SELL,2026-04-09T14:42:36.087786+00:00,EQ_OPT,,2,1,EQUITY_OPTION,1e+06,4800,2025-01-15,2027-01-15,USD,SX5E,4800,0.032,4800,PUT,AMERICAN,0.2171,,,,,,,,-102970,,,,,,-102970,70.4545,,,,-52.0856,20321,84.0008,-0.0593261,70.4545,,,
EQOPT-0008,EQOPT-EXOTIC,CPTY-01,2025-01-15,SELL,2026-04-09T14:42:36.087786+00:00,EQ_OPT,,1,1,EQUITY_OPTION,1e+07,5040,2025-01-15,2025-07-16,USD,SX5E,4800,0.032,5040,PUT,EUROPEAN,0.1847,,,,,,,,-737913,,,,,,-737913,326.9,,,,-26997.8,342063,1212.09,-1.27233,326.9,,,
EQOPT-0009,EQOPT-DELTA,CPTY-01,2025-01-15,SELL,2026-04-09T14:42:36.087786+00:00,EQ_OPT,,1,1,EQUITY_OPTION,2e+06,8740,2025-01-15,2025-07-16,USD,FTSE,7600,0.038,8740,CALL,AMERICAN,0.1914,,,,,,,,-24462.5,,,,,,-24462.5,-16.462,,,,-37.3219,73783.9,-46.6405,-0.0661199,-16.462,,,
EQOPT-0010,EQOPT-VANILLA,CPTY-04,2025-01-15,BUY,2026-04-09T14:42:36.087786+00:00,EQ_OPT,,2,1,EQUITY_OPTION,5e+06,221.35,2025-01-15,2027-01-15,USD,AAPL,233,0.005,221.35,CALL,AMERICAN,0.2875,,,,,,,,1.11033e+06,,,,,,1.11033e+06,478.563,,,,241.018,-272804,15033.6,77.109,478.563,,,
