trade_id,book,counterparty,valuation_date,direction,run_timestamp,instrument,swap_subtype,tenor_y,leg_count,leg_types,notional,coupon_rate,start_date,end_date,currency,underlying_ticker,initial_price,dividend_yield,strike,option_type,exercise_type,vol,reference_entity,credit_spread,recovery_rate,seniority,doc_clause,spread,index_name,npv,fixed_npv,float_npv,par_rate,clean_price,accrued,premium,dv01,duration,pv01,convexity,vega,theta,delta,gamma,rho,cr01,jump_to_default,error
EQ-0001,EQSWAP-TRS,CPTY-02,2025-01-15,SHORT,2026-04-09T14:05:32.670891+00:00,EQ_SWAP,,2,1,EQUITY,1e+07,,2025-01-17,2027-01-17,USD,SPY,480,0.013,,,,,,,,,,0.005,,-768839,,,0.013,,,,-1799.5,-1.7995,-179.95,,,980.457,-100000,,,,,
EQ-0002,EQSWAP-DIV,CPTY-08,2025-01-15,SHORT,2026-04-09T14:05:32.670891+00:00,EQ_SWAP,,1,1,EQUITY,2e+07,,2025-01-17,2026-01-17,USD,IWM,210,0.015,,,,,,,,,,0.005,,-795430,,,0.015,,,,-1900.78,-0.950391,-95.0391,,,2090.55,-200000,,,,,
EQ-0003,EQSWAP-IDX,CPTY-09,2025-01-15,LONG,2026-04-09T14:05:32.670891+00:00,EQ_SWAP,,5,1,EQUITY,5e+07,,2025-01-17,2030-01-17,USD,EFA,78,0.03,,,,,,,,,,0.005,,4.10021e+06,,,0.03,,,,19489.4,3.89788,389.788,,,-1795.78,500000,,,,,
EQ-0004,EQSWAP-TRS,CPTY-01,2025-01-15,SHORT,2026-04-09T14:05:32.670891+00:00,EQ_SWAP,,3,1,EQUITY,5e+06,,2025-01-17,2028-01-17,USD,NKY,38000,0.025,,,,,,,,,,0.005,,-361434,,,0.025,,,,-1285.14,-2.57029,-257.029,,,291.567,-50000,,,,,
EQ-0005,EQSWAP-DIV,CPTY-09,2025-01-15,LONG,2026-04-09T14:05:32.670891+00:00,EQ_SWAP,,2,1,EQUITY,5e+06,,2025-01-17,2027-01-17,USD,EFA,78,0.03,,,,,,,,,,0.005,,221140,,,0.03,,,,899.75,1.7995,179.95,,,-276.752,50000,,,,,
EQ-0006,EQSWAP-IDX,CPTY-06,2025-01-15,LONG,2026-04-09T14:05:32.670891+00:00,EQ_SWAP,,2,1,EQUITY,1e+07,,2025-01-17,2027-01-17,USD,QQQ,415,0.007,,,,,,,,,,0.005,,886780,,,0.007,,,,1799.5,1.7995,179.95,,,-1138.35,100000,,,,,
EQ-0007,EQSWAP-TRS,CPTY-04,2025-01-15,LONG,2026-04-09T14:05:32.670891+00:00,EQ_SWAP,,5,1,EQUITY,2e+07,,2025-01-17,2030-01-17,USD,SPY,480,0.013,,,,,,,,,,0.005,,3.16952e+06,,,0.013,,,,7795.76,3.89788,389.788,,,-1465.44,200000,,,,,
EQ-0008,EQSWAP-DIV,CPTY-03,2025-01-15,LONG,2026-04-09T14:05:32.670891+00:00,EQ_SWAP,,2,1,EQUITY,1e+07,,2025-01-17,2027-01-17,USD,EFA,78,0.03,,,,,,,,,,0.005,,442280,,,0.03,,,,1799.5,1.7995,179.95,,,-553.504,100000,,,,,
EQ-0009,EQSWAP-IDX,CPTY-07,2025-01-15,SHORT,2026-04-09T14:05:32.670891+00:00,EQ_SWAP,,3,1,EQUITY,1e+07,,2025-01-17,2028-01-17,USD,QQQ,415,0.007,,,,,,,,,,0.005,,-1.23852e+06,,,0.007,,,,-2570.29,-2.57029,-257.029,,,1030.72,-100000,,,,,
EQ-0010,EQSWAP-TRS,CPTY-05,2025-01-15,SHORT,2026-04-09T14:05:32.670891+00:00,EQ_SWAP,,1,1,EQUITY,5e+07,,2025-01-17,2026-01-17,USD,SX5E,4800,0.032,,,,,,,,,,0.005,,-1.15387e+06,,,0.032,,,,-4751.96,-0.950391,-95.0391,,,3005.49,-500000,,,,,
EQ-0011,EQSWAP-DIV,CPTY-02,2025-01-15,LONG,2026-04-09T14:05:32.670891+00:00,EQ_SWAP,,3,1,EQUITY,2e+07,,2025-01-17,2028-01-17,USD,FTSE,7600,0.038,,,,,,,,,,0.005,,734853,,,0.038,,,,5140.58,2.57029,257.029,,,-579.458,200000,,,,,
EQ-0012,EQSWAP-IDX,CPTY-05,2025-01-15,LONG,2026-04-09T14:05:32.670891+00:00,EQ_SWAP,,5,1,EQUITY,5e+07,,2025-01-17,2030-01-17,USD,EFA,78,0.03,,,,,,,,,,0.005,,4.10021e+06,,,0.03,,,,19489.4,3.89788,389.788,,,-1795.78,500000,,,,,
EQ-0013,EQSWAP-TRS,CPTY-07,2025-01-15,LONG,2026-04-09T14:05:32.670891+00:00,EQ_SWAP,,1,1,EQUITY,2e+07,,2025-01-17,2026-01-17,USD,IWM,210,0.015,,,,,,,,,,0.005,,795430,,,0.015,,,,1900.78,0.950391,95.0391,,,-2090.55,200000,,,,,
EQ-0014,EQSWAP-DIV,CPTY-06,2025-01-15,LONG,2026-04-09T14:05:32.670891+00:00,EQ_SWAP,,2,1,EQUITY,2e+07,,2025-01-17,2027-01-17,USD,SX5E,4800,0.032,,,,,,,,,,0.005,,809176,,,0.032,,,,3599,1.7995,179.95,,,-1010.42,200000,,,,,
EQ-0015,EQSWAP-IDX,CPTY-04,2025-01-15,LONG,2026-04-09T14:05:32.670891+00:00,EQ_SWAP,,3,1,EQUITY,5e+06,,2025-01-17,2028-01-17,USD,IWM,210,0.015,,,,,,,,,,0.005,,502947,,,0.015,,,,1285.14,2.57029,257.029,,,-412.829,50000,,,,,
EQ-0016,EQSWAP-TRS,CPTY-05,2025-01-15,SHORT,2026-04-09T14:05:32.670891+00:00,EQ_SWAP,,5,1,EQUITY,2e+07,,2025-01-17,2030-01-17,USD,IWM,210,0.015,,,,,,,,,,0.005,,-2.98275e+06,,,0.015,,,,-7795.76,-3.89788,-389.788,,,1370.43,-200000,,,,,
EQ-0017,EQSWAP-DIV,CPTY-06,2025-01-15,SHORT,2026-04-09T14:05:32.670891+00:00,EQ_SWAP,,2,1,EQUITY,1e+07,,2025-01-17,2027-01-17,USD,QQQ,415,0.007,,,,,,,,,,0.005,,-886780,,,0.007,,,,-1799.5,-1.7995,-179.95,,,1138.35,-100000,,,,,
