trade_id,book,counterparty,valuation_date,direction,run_timestamp,instrument,swap_subtype,tenor_y,leg_count,leg_types,notional,coupon_rate,start_date,end_date,currency,underlying_ticker,initial_price,dividend_yield,strike,option_type,exercise_type,vol,reference_entity,credit_spread,recovery_rate,seniority,doc_clause,spread,index_name,npv,fixed_npv,float_npv,par_rate,clean_price,accrued,premium,dv01,duration,pv01,convexity,vega,theta,delta,gamma,rho,cr01,jump_to_default,error
OBOND-EXTE-0241,OBOND-CONV,CPTY-03,2025-01-15,SHORT,2026-04-09T14:05:32.670891+00:00,EXTBL,EXTENDABLE,0,2,"BOND,OPTION",5e+06,0.0475,2025-01-15,2040-01-15,USD,,,,1,PUT,EUROPEAN,0.0081,,,,,,,,5.27284e+06,5.22605e+06,,0.0425519,5.27305e+06,1319.44,,5364.2,10.7284,1072.84,124.162,92370.9,,46789.1,,,,,
OBOND-EXTE-0242,OBOND-CONV,CPTY-03,2025-01-15,SHORT,2026-04-09T14:05:32.670891+00:00,EXTBL,EXTENDABLE,0,2,"BOND,OPTION",5e+06,0.04,2025-01-15,2032-01-15,USD,,,,1,PUT,EUROPEAN,0.0139,,,,,,,,5.01239e+06,4.85834e+06,,0.0395813,5.01273e+06,1111.11,,2200.57,4.40114,440.114,22.8366,99092,,154048,,,,,
OBOND-EXTE-0243,OBOND-CONV,CPTY-10,2025-01-15,SHORT,2026-04-09T14:05:32.670891+00:00,EXTBL,EXTENDABLE,0,2,"BOND,OPTION",1e+07,0.0479,2025-01-15,2032-01-15,USD,,,,1,PUT,EUROPEAN,0.0146,,,,,,,,1.02999e+07,1.01844e+07,,0.0428887,1.03002e+07,2661.11,,5614.41,5.61441,561.441,32.762,107840,,115435,,,,,
OBOND-EXTE-0244,OBOND-CONV,CPTY-04,2025-01-15,SHORT,2026-04-09T14:05:32.670891+00:00,EXTBL,EXTENDABLE,0,2,"BOND,OPTION",5e+06,0.04,2025-01-15,2032-01-15,USD,,,,1,PUT,EUROPEAN,0.0126,,,,,,,,4.9996e+06,4.85834e+06,,0.0400034,4.99995e+06,1111.11,,2190.35,4.38069,438.069,22.7465,98907.2,,141266,,,,,
OBOND-EXTE-0245,OBOND-CONV,CPTY-02,2025-01-15,LONG,2026-04-09T14:05:32.670891+00:00,EXTBL,EXTENDABLE,0,2,"BOND,OPTION",2e+07,0.0454,2025-01-15,2032-01-15,USD,,,,1,PUT,EUROPEAN,0.0135,,,,,,,,2.05067e+07,2.00728e+07,,0.0411881,2.05077e+07,5044.44,,-9864.97,-4.93248,-493.248,26.9287,390140,,433918,,,,,
OBOND-EXTE-0246,OBOND-CONV,CPTY-05,2025-01-15,LONG,2026-04-09T14:05:32.670891+00:00,EXTBL,EXTENDABLE,0,2,"BOND,OPTION",5e+07,0.04,2025-01-15,2032-01-15,USD,,,,1,PUT,EUROPEAN,0.0147,,,,,,,,4.94449e+07,4.85834e+07,,0.0418381,4.94482e+07,11111.1,,-26577,-5.31541,-531.541,31.5188,536927,,861518,,,,,
OBOND-EXTE-0247,OBOND-CONV,CPTY-02,2025-01-15,LONG,2026-04-09T14:05:32.670891+00:00,EXTBL,EXTENDABLE,0,2,"BOND,OPTION",5e+07,0.04,2025-01-15,2045-01-15,USD,,,,1,PUT,EUROPEAN,0.0126,,,,,,,,4.88203e+07,4.80646e+07,,0.0417571,4.88233e+07,11111.1,,-64315.2,-12.863,-1286.3,214.085,605840,,755701,,,,,
OBOND-EXTE-0248,OBOND-CONV,CPTY-09,2025-01-15,LONG,2026-04-09T14:05:32.670891+00:00,EXTBL,EXTENDABLE,0,2,"BOND,OPTION",2e+07,0.0459,2025-01-15,2040-01-15,USD,,,,1,PUT,EUROPEAN,0.0085,,,,,,,,2.0674e+07,2.0556e+07,,0.0428419,2.06749e+07,5100,,-22107.3,-11.0537,-1105.37,136.835,179382,,118033,,,,,
OBOND-EXTE-0249,OBOND-CONV,CPTY-10,2025-01-15,LONG,2026-04-09T14:05:32.670891+00:00,EXTBL,EXTENDABLE,0,2,"BOND,OPTION",1e+07,0.0468,2025-01-15,2032-01-15,USD,,,,1,PUT,EUROPEAN,0.009,,,,,,,,1.02089e+07,1.01193e+07,,0.0433022,1.02093e+07,2600,,-5309.74,-5.30974,-530.974,362.762,150767,,89593.3,,,,,
OBOND-EXTE-0250,OBOND-CONV,CPTY-09,2025-01-15,LONG,2026-04-09T14:05:32.670891+00:00,EXTBL,EXTENDABLE,0,2,"BOND,OPTION",5e+07,0.0441,2025-01-15,2035-01-15,USD,,,,1,PUT,EUROPEAN,0.009,,,,,,,,5.09961e+07,5.01011e+07,,0.0416493,5.09987e+07,12250,,-34419.9,-6.88398,-688.398,53.2717,1.25651e+06,,894976,,,,,
OBOND-EXTE-0251,OBOND-CONV,CPTY-05,2025-01-15,SHORT,2026-04-09T14:05:32.670891+00:00,EXTBL,EXTENDABLE,0,2,"BOND,OPTION",2e+07,0.0415,2025-01-15,2055-01-15,USD,,,,1,PUT,EUROPEAN,0.0141,,,,,,,,1.98031e+07,1.96607e+07,,0.0420803,1.98042e+07,4611.11,,34024.2,17.0121,1701.21,403.133,106514,,142314,,,,,
OBOND-EXTE-0252,OBOND-CONV,CPTY-09,2025-01-15,LONG,2026-04-09T14:05:32.670891+00:00,EXTBL,EXTENDABLE,0,2,"BOND,OPTION",2e+07,0.0438,2025-01-15,2040-01-15,USD,,,,1,PUT,EUROPEAN,0.0132,,,,,,,,2.05477e+07,2.00989e+07,,0.0413408,2.05488e+07,4866.67,,-21013.4,-10.5067,-1050.67,124.188,367590,,448830,,,,,
OBOND-EXTE-0253,OBOND-CONV,CPTY-03,2025-01-15,SHORT,2026-04-09T14:05:32.670891+00:00,EXTBL,EXTENDABLE,0,2,"BOND,OPTION",5e+07,0.0413,2025-01-15,2045-01-15,USD,,,,1,PUT,EUROPEAN,0.0149,,,,,,,,5.03566e+07,4.89257e+07,,0.0407802,5.03597e+07,11472.2,,64224.6,12.8449,1284.49,200.457,988904,,1.43088e+06,,,,,
OBOND-EXTE-0254,OBOND-CONV,CPTY-10,2025-01-15,LONG,2026-04-09T14:05:32.670891+00:00,EXTBL,EXTENDABLE,0,2,"BOND,OPTION",5e+06,0.0464,2025-01-15,2035-01-15,USD,,,,1,PUT,EUROPEAN,0.0087,,,,,,,,5.15926e+06,5.10184e+06,,0.0424644,5.15946e+06,1288.89,,-3695.1,-7.3902,-739.02,59.1079,100587,,57416.5,,,,,
OBOND-EXTE-0255,OBOND-CONV,CPTY-07,2025-01-15,SHORT,2026-04-09T14:05:32.670891+00:00,EXTBL,EXTENDABLE,0,2,"BOND,OPTION",1e+07,0.0443,2025-01-15,2032-01-15,USD,,,,1,PUT,EUROPEAN,0.0132,,,,,,,,1.00963e+07,9.97128e+06,,0.0426871,1.00968e+07,2461.11,,5442.99,5.44299,544.299,31.9702,107752,,125014,,,,,
OBOND-EXTE-0256,OBOND-CONV,CPTY-09,2025-01-15,LONG,2026-04-09T14:05:32.670891+00:00,EXTBL,EXTENDABLE,0,2,"BOND,OPTION",1e+07,0.0469,2025-01-15,2035-01-15,USD,,,,1,PUT,EUROPEAN,0.0135,,,,,,,,1.04473e+07,1.02436e+07,,0.041398,1.04477e+07,2605.56,,-7339.82,-7.33982,-733.982,56.8518,206439,,203738,,,,,
