trade_id,book,counterparty,valuation_date,direction,run_timestamp,instrument,swap_subtype,tenor_y,leg_count,leg_types,notional,coupon_rate,start_date,end_date,currency,underlying_ticker,initial_price,dividend_yield,strike,option_type,exercise_type,vol,reference_entity,credit_spread,recovery_rate,seniority,doc_clause,spread,index_name,npv,fixed_npv,float_npv,par_rate,clean_price,accrued,premium,dv01,duration,pv01,convexity,vega,theta,delta,gamma,rho,cr01,jump_to_default,error
OBOND-SINK-1429,OBOND-SINK,CPTY-07,2025-01-15,SHORT,2026-04-09T14:42:36.087786+00:00,SINKBL,,0,1,BOND,5e+07,0.0461,2025-01-15,2040-01-15,USD,,,,,,,,,,,,,,,5.0068e+07,,,0.0457832,5.00697e+07,12805.6,,-21047.3,-4.20946,-420.946,23.5516,,,,,,,,
OBOND-SINK-1430,OBOND-SINK,CPTY-05,2025-01-15,LONG,2026-04-09T14:42:36.087786+00:00,SINKBL,,0,1,BOND,5e+07,0.0431,2025-01-15,2035-01-15,USD,,,,,,,,,,,,,,,4.9461e+07,,,0.0456802,4.94634e+07,11972.2,,21421.1,4.28423,428.423,25.0307,,,,,,,,
OBOND-SINK-1431,OBOND-SINK,CPTY-01,2025-01-15,SHORT,2026-04-09T14:42:36.087786+00:00,SINKBL,,0,1,BOND,2e+07,0.0423,2025-01-15,2035-01-15,USD,,,,,,,,,,,,,,,1.97184e+07,,,0.04553,1.97194e+07,4700,,-8908.04,-4.45402,-445.402,27.3502,,,,,,,,
OBOND-SINK-1432,OBOND-SINK,CPTY-09,2025-01-15,SHORT,2026-04-09T14:42:36.087786+00:00,SINKBL,,0,1,BOND,2e+07,0.0455,2025-01-15,2035-01-15,USD,,,,,,,,,,,,,,,2.00393e+07,,,0.0451153,2.00401e+07,5055.56,,-10180.8,-5.09039,-509.039,34.862,,,,,,,,
OBOND-SINK-1433,OBOND-SINK,CPTY-08,2025-01-15,SHORT,2026-04-09T14:42:36.087786+00:00,SINKBL,,0,1,BOND,1e+07,0.0402,2025-01-15,2040-01-15,USD,,,,,,,,,,,,,,,9.77118e+06,,,0.0456948,9.77178e+06,2233.33,,-4218.61,-4.21861,-421.861,24.8229,,,,,,,,
OBOND-SINK-1434,OBOND-SINK,CPTY-03,2025-01-15,LONG,2026-04-09T14:42:36.087786+00:00,SINKBL,,0,1,BOND,5e+06,0.04,2025-01-15,2055-01-15,USD,,,,,,,,,,,,,,,4.87727e+06,,,0.0453349,4.87758e+06,1111.11,,2327.82,4.65564,465.564,30.6847,,,,,,,,
OBOND-SINK-1435,OBOND-SINK,CPTY-04,2025-01-15,LONG,2026-04-09T14:42:36.087786+00:00,SINKBL,,0,1,BOND,2e+07,0.04,2025-01-15,2040-01-15,USD,,,,,,,,,,,,,,,1.95199e+07,,,0.0455804,1.95211e+07,4444.44,,8708.39,4.3542,435.42,26.5535,,,,,,,,
OBOND-SINK-1436,OBOND-SINK,CPTY-03,2025-01-15,LONG,2026-04-09T14:42:36.087786+00:00,SINKBL,,0,1,BOND,2e+07,0.044,2025-01-15,2035-01-15,USD,,,,,,,,,,,,,,,1.98726e+07,,,0.0454256,1.98735e+07,4888.89,,9231.81,4.61591,461.591,29.0786,,,,,,,,
OBOND-SINK-1437,OBOND-SINK,CPTY-06,2025-01-15,SHORT,2026-04-09T14:42:36.087786+00:00,SINKBL,,0,1,BOND,2e+07,0.0415,2025-01-15,2035-01-15,USD,,,,,,,,,,,,,,,1.96437e+07,,,0.0449736,1.96448e+07,4611.11,,-10441.6,-5.22082,-522.082,37.9077,,,,,,,,
OBOND-SINK-1438,OBOND-SINK,CPTY-06,2025-01-15,SHORT,2026-04-09T14:42:36.087786+00:00,SINKBL,,0,1,BOND,5e+07,0.0429,2025-01-15,2030-01-15,USD,,,,,,,,,,,,,,,4.93811e+07,,,0.046401,4.93835e+07,11916.7,,-18007.2,-3.60144,-360.144,15.7144,,,,,,,,
OBOND-SINK-1439,OBOND-SINK,CPTY-05,2025-01-15,SHORT,2026-04-09T14:42:36.087786+00:00,SINKBL,,0,1,BOND,1e+07,0.04,2025-01-15,2055-01-15,USD,,,,,,,,,,,,,,,9.73939e+06,,,0.0448281,9.74e+06,2222.22,,-5453.2,-5.4532,-545.32,43.0753,,,,,,,,
OBOND-SINK-1440,OBOND-SINK,CPTY-07,2025-01-15,LONG,2026-04-09T14:42:36.087786+00:00,SINKBL,,0,1,BOND,2e+07,0.0432,2025-01-15,2035-01-15,USD,,,,,,,,,,,,,,,1.97997e+07,,,0.04545,1.98007e+07,4800,,9139.07,4.56953,456.953,28.6687,,,,,,,,
OBOND-SINK-1441,OBOND-SINK,CPTY-01,2025-01-15,SHORT,2026-04-09T14:42:36.087786+00:00,SINKBL,,0,1,BOND,2e+07,0.0498,2025-01-15,2030-01-15,USD,,,,,,,,,,,,,,,2.02228e+07,,,0.0465445,2.02232e+07,5533.33,,-7055.08,-3.52754,-352.754,14.6396,,,,,,,,
OBOND-SINK-1442,OBOND-SINK,CPTY-05,2025-01-15,LONG,2026-04-09T14:42:36.087786+00:00,SINKBL,,0,1,BOND,5e+06,0.0439,2025-01-15,2040-01-15,USD,,,,,,,,,,,,,,,4.96334e+06,,,0.0456372,4.96357e+06,1219.44,,2175.53,4.35107,435.107,25.6702,,,,,,,,
OBOND-SINK-1443,OBOND-SINK,CPTY-03,2025-01-15,SHORT,2026-04-09T14:42:36.087786+00:00,SINKBL,,0,1,BOND,1e+07,0.0413,2025-01-15,2035-01-15,USD,,,,,,,,,,,,,,,9.81057e+06,,,0.0448542,9.81113e+06,2294.44,,-5419.66,-5.41966,-541.966,40.6718,,,,,,,,
OBOND-SINK-1444,OBOND-SINK,CPTY-08,2025-01-15,SHORT,2026-04-09T14:42:36.087786+00:00,SINKBL,,0,1,BOND,5e+06,0.0464,2025-01-15,2040-01-15,USD,,,,,,,,,,,,,,,5.02291e+06,,,0.0454066,5.02308e+06,1288.89,,-2343.65,-4.6873,-468.73,29.3963,,,,,,,,
OBOND-SINK-1445,OBOND-SINK,CPTY-05,2025-01-15,SHORT,2026-04-09T14:42:36.087786+00:00,SINKBL,,0,1,BOND,5e+07,0.0421,2025-01-15,2040-01-15,USD,,,,,,,,,,,,,,,4.92542e+07,,,0.0454197,4.92568e+07,11694.4,,-22935.3,-4.58705,-458.705,29.1861,,,,,,,,
OBOND-SINK-1446,OBOND-SINK,CPTY-01,2025-01-15,LONG,2026-04-09T14:42:36.087786+00:00,SINKBL,,0,1,BOND,5e+07,0.04,2025-01-15,2045-01-15,USD,,,,,,,,,,,,,,,4.87848e+07,,,0.04544,4.87878e+07,11111.1,,22608.3,4.52167,452.167,28.848,,,,,,,,
OBOND-SINK-1447,OBOND-SINK,CPTY-03,2025-01-15,SHORT,2026-04-09T14:42:36.087786+00:00,SINKBL,,0,1,BOND,5e+06,0.0478,2025-01-15,2030-01-15,USD,,,,,,,,,,,,,,,5.02518e+06,,,0.0463937,5.02531e+06,1327.78,,-1834.61,-3.66922,-366.922,15.7545,,,,,,,,
OBOND-SINK-1448,OBOND-SINK,CPTY-09,2025-01-15,LONG,2026-04-09T14:42:36.087786+00:00,SINKBL,,0,1,BOND,5e+06,0.0432,2025-01-15,2035-01-15,USD,,,,,,,,,,,,,,,4.95314e+06,,,0.0451075,4.95338e+06,1200,,2524.33,5.04865,504.865,35.0342,,,,,,,,
OBOND-SINK-1449,OBOND-SINK,CPTY-01,2025-01-15,LONG,2026-04-09T14:42:36.087786+00:00,SINKBL,,0,1,BOND,5e+07,0.0475,2025-01-15,2035-01-15,USD,,,,,,,,,,,,,,,5.05819e+07,,,0.0451441,5.05834e+07,13194.4,,25457.4,5.09148,509.148,34.2679,,,,,,,,
OBOND-SINK-1450,OBOND-SINK,CPTY-05,2025-01-15,SHORT,2026-04-09T14:42:36.087786+00:00,SINKBL,,0,1,BOND,5e+07,0.0422,2025-01-15,2035-01-15,USD,,,,,,,,,,,,,,,4.92824e+07,,,0.0451953,4.9285e+07,11722.2,,-24472.6,-4.89453,-489.453,33.2859,,,,,,,,
OBOND-SINK-1451,OBOND-SINK,CPTY-09,2025-01-15,LONG,2026-04-09T14:42:36.087786+00:00,SINKBL,,0,1,BOND,2e+07,0.04,2025-01-15,2045-01-15,USD,,,,,,,,,,,,,,,1.94962e+07,,,0.0450935,1.94974e+07,4444.44,,10001.8,5.00091,500.091,35.7802,,,,,,,,
OBOND-SINK-1452,OBOND-SINK,CPTY-07,2025-01-15,LONG,2026-04-09T14:42:36.087786+00:00,SINKBL,,0,1,BOND,5e+07,0.0422,2025-01-15,2030-01-15,USD,,,,,,,,,,,,,,,4.92527e+07,,,0.0463068,4.92552e+07,11722.2,,18492.7,3.69854,369.854,16.4598,,,,,,,,
OBOND-SINK-1453,OBOND-SINK,CPTY-05,2025-01-15,LONG,2026-04-09T14:42:36.087786+00:00,SINKBL,,0,1,BOND,5e+07,0.0441,2025-01-15,2032-01-15,USD,,,,,,,,,,,,,,,4.9682e+07,,,0.0455264,4.96842e+07,12250,,22802.4,4.56047,456.047,26.2571,,,,,,,,
OBOND-SINK-1454,OBOND-SINK,CPTY-09,2025-01-15,LONG,2026-04-09T14:42:36.087786+00:00,SINKBL,,0,1,BOND,2e+07,0.0433,2025-01-15,2032-01-15,USD,,,,,,,,,,,,,,,1.9795e+07,,,0.0458515,1.97959e+07,4811.11,,8204.84,4.10242,410.242,22.0408,,,,,,,,
OBOND-SINK-1455,OBOND-SINK,CPTY-05,2025-01-15,SHORT,2026-04-09T14:42:36.087786+00:00,SINKBL,,0,1,BOND,5e+07,0.0466,2025-01-15,2035-01-15,USD,,,,,,,,,,,,,,,5.02823e+07,,,0.0453813,5.0284e+07,12944.4,,-23626.9,-4.72538,-472.538,29.8355,,,,,,,,
OBOND-SINK-1456,OBOND-SINK,CPTY-05,2025-01-15,LONG,2026-04-09T14:42:36.087786+00:00,SINKBL,,0,1,BOND,2e+07,0.041,2025-01-15,2032-01-15,USD,,,,,,,,,,,,,,,1.96099e+07,,,0.0458302,1.9611e+07,4555.56,,8185.25,4.09262,409.262,22.3017,,,,,,,,
OBOND-SINK-1457,OBOND-SINK,CPTY-07,2025-01-15,LONG,2026-04-09T14:42:36.087786+00:00,SINKBL,,0,1,BOND,2e+07,0.0433,2025-01-15,2045-01-15,USD,,,,,,,,,,,,,,,1.97999e+07,,,0.0457274,1.98008e+07,4811.11,,8461.45,4.23072,423.072,24.3446,,,,,,,,
OBOND-SINK-1458,OBOND-SINK,CPTY-04,2025-01-15,LONG,2026-04-09T14:42:36.087786+00:00,SINKBL,,0,1,BOND,2e+07,0.0454,2025-01-15,2040-01-15,USD,,,,,,,,,,,,,,,2.00718e+07,,,0.0447632,2.00726e+07,5044.44,,11478.8,5.7394,573.94,45.3112,,,,,,,,
OBOND-SINK-1459,OBOND-SINK,CPTY-10,2025-01-15,LONG,2026-04-09T14:42:36.087786+00:00,SINKBL,,0,1,BOND,5e+06,0.0415,2025-01-15,2032-01-15,USD,,,,,,,,,,,,,,,4.91098e+06,,,0.0455989,4.91126e+06,1152.78,,2202.62,4.40524,440.524,25.2523,,,,,,,,
OBOND-SINK-1460,OBOND-SINK,CPTY-05,2025-01-15,LONG,2026-04-09T14:42:36.087786+00:00,SINKBL,,0,1,BOND,1e+07,0.0404,2025-01-15,2055-01-15,USD,,,,,,,,,,,,,,,9.77951e+06,,,0.0456954,9.7801e+06,2244.44,,4221.2,4.2212,422.12,24.8137,,,,,,,,
